id,frase,etiqueta,familia,padecimiento
T0349,"está en tratamiento por diabetes",presente,"tratamiento en curso","diabetes"
T0350,"está en tratamiento por hipertensión",presente,"tratamiento en curso","hipertensión"
T0351,"está en tratamiento por asma",presente,"tratamiento en curso","asma"
T0352,"está en tratamiento por epilepsia",presente,"tratamiento en curso","epilepsia"
T0353,"está en control por neumonía",presente,"control en curso","neumonía"
T0354,"está en control por COVID-19",presente,"control en curso","COVID-19"
T0355,"está en control por fractura",presente,"control en curso","fractura"
T0356,"está en control por cirugía",presente,"control en curso","cirugía"
T0357,"está en control por trombosis venosa",presente,"control en curso","trombosis venosa"
T0358,"está en control por embolia pulmonar",presente,"control en curso","embolia pulmonar"
T0359,"está en control por evento vascular cerebral",presente,"control en curso","evento vascular cerebral"
T0360,"está en control por hemorragia digestiva",presente,"control en curso","hemorragia digestiva"
T0361,"está en control por pancreatitis",presente,"control en curso","pancreatitis"
T0362,"está en control por infección urinaria",presente,"control en curso","infección urinaria"
T0363,"está en control por dengue",presente,"control en curso","dengue"
T0364,"está en control por hepatitis",presente,"control en curso","hepatitis"
T0365,"está en control por diabetes",presente,"control en curso","diabetes"
T0366,"está en control por hipertensión",presente,"control en curso","hipertensión"
T0367,"está en control por asma",presente,"control en curso","asma"
T0368,"está en control por epilepsia",presente,"control en curso","epilepsia"
T0369,"tiene neumonía",presente,"presente pelado, sin marca","neumonía"
T0370,"tiene COVID-19",presente,"presente pelado, sin marca","COVID-19"
T0371,"tiene fractura",presente,"presente pelado, sin marca","fractura"
T0372,"tiene cirugía",presente,"presente pelado, sin marca","cirugía"
T0373,"tiene trombosis venosa",presente,"presente pelado, sin marca","trombosis venosa"
T0374,"tiene embolia pulmonar",presente,"presente pelado, sin marca","embolia pulmonar"
T0375,"tiene evento vascular cerebral",presente,"presente pelado, sin marca","evento vascular cerebral"
T0376,"tiene hemorragia digestiva",presente,"presente pelado, sin marca","hemorragia digestiva"
T0377,"tiene pancreatitis",presente,"presente pelado, sin marca","pancreatitis"
T0378,"tiene infección urinaria",presente,"presente pelado, sin marca","infección urinaria"
T0379,"tiene dengue",presente,"presente pelado, sin marca","dengue"
T0380,"tiene hepatitis",presente,"presente pelado, sin marca","hepatitis"
T0381,"tiene diabetes",presente,"presente pelado, sin marca","diabetes"
T0382,"tiene hipertensión",presente,"presente pelado, sin marca","hipertensión"
T0383,"tiene asma",presente,"presente pelado, sin marca","asma"
T0384,"tiene epilepsia",presente,"presente pelado, sin marca","epilepsia"
T0385,"persiste neumonía",presente,"persistencia","neumonía"
T0386,"persiste COVID-19",presente,"persistencia","COVID-19"
T0387,"persiste fractura",presente,"persistencia","fractura"
T0388,"persiste cirugía",presente,"persistencia","cirugía"
T0389,"persiste trombosis venosa",presente,"persistencia","trombosis venosa"
T0390,"persiste embolia pulmonar",presente,"persistencia","embolia pulmonar"
T0391,"persiste evento vascular cerebral",presente,"persistencia","evento vascular cerebral"
T0392,"persiste hemorragia digestiva",presente,"persistencia","hemorragia digestiva"
T0393,"persiste pancreatitis",presente,"persistencia","pancreatitis"
T0394,"persiste infección urinaria",presente,"persistencia","infección urinaria"
T0395,"persiste dengue",presente,"persistencia","dengue"
T0396,"persiste hepatitis",presente,"persistencia","hepatitis"
T0397,"persiste diabetes",presente,"persistencia","diabetes"
T0398,"persiste hipertensión",presente,"persistencia","hipertensión"
T0399,"persiste asma",presente,"persistencia","asma"
T0400,"persiste epilepsia",presente,"persistencia","epilepsia"
T0401,"aún presenta neumonía",presente,"adverbio de continuidad","neumonía"
T0402,"aún presenta COVID-19",presente,"adverbio de continuidad","COVID-19"
T0403,"aún presenta fractura",presente,"adverbio de continuidad","fractura"
T0404,"aún presenta cirugía",presente,"adverbio de continuidad","cirugía"
T0405,"aún presenta trombosis venosa",presente,"adverbio de continuidad","trombosis venosa"
T0406,"aún presenta embolia pulmonar",presente,"adverbio de continuidad","embolia pulmonar"
T0407,"aún presenta evento vascular cerebral",presente,"adverbio de continuidad","evento vascular cerebral"
T0408,"aún presenta hemorragia digestiva",presente,"adverbio de continuidad","hemorragia digestiva"
T0409,"aún presenta pancreatitis",presente,"adverbio de continuidad","pancreatitis"
T0410,"aún presenta infección urinaria",presente,"adverbio de continuidad","infección urinaria"
T0411,"aún presenta dengue",presente,"adverbio de continuidad","dengue"
T0412,"aún presenta hepatitis",presente,"adverbio de continuidad","hepatitis"
T0413,"aún presenta diabetes",presente,"adverbio de continuidad","diabetes"
T0414,"aún presenta hipertensión",presente,"adverbio de continuidad","hipertensión"
T0415,"aún presenta asma",presente,"adverbio de continuidad","asma"
T0416,"aún presenta epilepsia",presente,"adverbio de continuidad","epilepsia"
T0417,"hace tres años que tiene neumonía",presente,"hace…que + PRESENTE — la trampa","neumonía"
T0418,"hace tres años que tiene COVID-19",presente,"hace…que + PRESENTE — la trampa","COVID-19"
T0419,"hace tres años que tiene fractura",presente,"hace…que + PRESENTE — la trampa","fractura"
T0420,"hace tres años que tiene cirugía",presente,"hace…que + PRESENTE — la trampa","cirugía"
T0421,"hace tres años que tiene trombosis venosa",presente,"hace…que + PRESENTE — la trampa","trombosis venosa"
T0422,"hace tres años que tiene embolia pulmonar",presente,"hace…que + PRESENTE — la trampa","embolia pulmonar"
T0423,"hace tres años que tiene evento vascular cerebral",presente,"hace…que + PRESENTE — la trampa","evento vascular cerebral"
T0424,"hace tres años que tiene hemorragia digestiva",presente,"hace…que + PRESENTE — la trampa","hemorragia digestiva"
T0425,"hace tres años que tiene pancreatitis",presente,"hace…que + PRESENTE — la trampa","pancreatitis"
T0426,"hace tres años que tiene infección urinaria",presente,"hace…que + PRESENTE — la trampa","infección urinaria"
T0427,"hace tres años que tiene dengue",presente,"hace…que + PRESENTE — la trampa","dengue"
T0428,"hace tres años que tiene hepatitis",presente,"hace…que + PRESENTE — la trampa","hepatitis"
T0429,"hace tres años que tiene diabetes",presente,"hace…que + PRESENTE — la trampa","diabetes"
T0430,"hace tres años que tiene hipertensión",presente,"hace…que + PRESENTE — la trampa","hipertensión"
T0431,"hace tres años que tiene asma",presente,"hace…que + PRESENTE — la trampa","asma"
T0432,"hace tres años que tiene epilepsia",presente,"hace…que + PRESENTE — la trampa","epilepsia"
T0433,"hace tres años que padece neumonía",presente,"hace…que + PRESENTE","neumonía"
T0434,"hace tres años que padece COVID-19",presente,"hace…que + PRESENTE","COVID-19"
T0435,"hace tres años que padece fractura",presente,"hace…que + PRESENTE","fractura"
T0436,"hace tres años que padece cirugía",presente,"hace…que + PRESENTE","cirugía"
T0437,"hace tres años que padece trombosis venosa",presente,"hace…que + PRESENTE","trombosis venosa"
T0438,"hace tres años que padece embolia pulmonar",presente,"hace…que + PRESENTE","embolia pulmonar"
T0439,"hace tres años que padece evento vascular cerebral",presente,"hace…que + PRESENTE","evento vascular cerebral"
T0440,"hace tres años que padece hemorragia digestiva",presente,"hace…que + PRESENTE","hemorragia digestiva"
T0441,"hace tres años que padece pancreatitis",presente,"hace…que + PRESENTE","pancreatitis"
T0442,"hace tres años que padece infección urinaria",presente,"hace…que + PRESENTE","infección urinaria"
T0443,"hace tres años que padece dengue",presente,"hace…que + PRESENTE","dengue"
T0444,"hace tres años que padece hepatitis",presente,"hace…que + PRESENTE","hepatitis"
T0445,"hace tres años que padece diabetes",presente,"hace…que + PRESENTE","diabetes"
T0446,"hace tres años que padece hipertensión",presente,"hace…que + PRESENTE","hipertensión"
T0447,"hace tres años que padece asma",presente,"hace…que + PRESENTE","asma"
T0448,"hace tres años que padece epilepsia",presente,"hace…que + PRESENTE","epilepsia"
T0449,"tiene neumonía hace tres años",presente,"presente + marca detrás — la trampa","neumonía"
T0450,"tiene COVID-19 hace tres años",presente,"presente + marca detrás — la trampa","COVID-19"
T0451,"tiene fractura hace tres años",presente,"presente + marca detrás — la trampa","fractura"
T0452,"tiene cirugía hace tres años",presente,"presente + marca detrás — la trampa","cirugía"
T0453,"tiene trombosis venosa hace tres años",presente,"presente + marca detrás — la trampa","trombosis venosa"
T0454,"tiene embolia pulmonar hace tres años",presente,"presente + marca detrás — la trampa","embolia pulmonar"
T0455,"tiene evento vascular cerebral hace tres años",presente,"presente + marca detrás — la trampa","evento vascular cerebral"
T0456,"tiene hemorragia digestiva hace tres años",presente,"presente + marca detrás — la trampa","hemorragia digestiva"
T0457,"tiene pancreatitis hace tres años",presente,"presente + marca detrás — la trampa","pancreatitis"
T0458,"tiene infección urinaria hace tres años",presente,"presente + marca detrás — la trampa","infección urinaria"
T0459,"tiene dengue hace tres años",presente,"presente + marca detrás — la trampa","dengue"
T0460,"tiene hepatitis hace tres años",presente,"presente + marca detrás — la trampa","hepatitis"
T0461,"tiene diabetes hace tres años",presente,"presente + marca detrás — la trampa","diabetes"
T0462,"tiene hipertensión hace tres años",presente,"presente + marca detrás — la trampa","hipertensión"
T0463,"tiene asma hace tres años",presente,"presente + marca detrás — la trampa","asma"
T0464,"tiene epilepsia hace tres años",presente,"presente + marca detrás — la trampa","epilepsia"
T0465,"padece neumonía hace diez años",presente,"presente + marca detrás","neumonía"
T0466,"padece COVID-19 hace diez años",presente,"presente + marca detrás","COVID-19"
T0467,"padece fractura hace diez años",presente,"presente + marca detrás","fractura"
T0468,"padece cirugía hace diez años",presente,"presente + marca detrás","cirugía"
T0469,"padece trombosis venosa hace diez años",presente,"presente + marca detrás","trombosis venosa"
T0470,"padece embolia pulmonar hace diez años",presente,"presente + marca detrás","embolia pulmonar"
T0471,"padece evento vascular cerebral hace diez años",presente,"presente + marca detrás","evento vascular cerebral"
T0472,"padece hemorragia digestiva hace diez años",presente,"presente + marca detrás","hemorragia digestiva"
T0473,"padece pancreatitis hace diez años",presente,"presente + marca detrás","pancreatitis"
T0474,"padece infección urinaria hace diez años",presente,"presente + marca detrás","infección urinaria"
T0475,"padece dengue hace diez años",presente,"presente + marca detrás","dengue"
T0476,"padece hepatitis hace diez años",presente,"presente + marca detrás","hepatitis"
T0477,"padece diabetes hace diez años",presente,"presente + marca detrás","diabetes"
T0478,"padece hipertensión hace diez años",presente,"presente + marca detrás","hipertensión"
T0479,"padece asma hace diez años",presente,"presente + marca detrás","asma"
T0480,"padece epilepsia hace diez años",presente,"presente + marca detrás","epilepsia"
T0481,"hace años que vive con neumonía",presente,"hace…que + presente sin cuantificador","neumonía"
T0482,"hace años que vive con COVID-19",presente,"hace…que + presente sin cuantificador","COVID-19"
T0483,"hace años que vive con fractura",presente,"hace…que + presente sin cuantificador","fractura"
T0484,"hace años que vive con cirugía",presente,"hace…que + presente sin cuantificador","cirugía"
T0485,"hace años que vive con trombosis venosa",presente,"hace…que + presente sin cuantificador","trombosis venosa"
T0486,"hace años que vive con embolia pulmonar",presente,"hace…que + presente sin cuantificador","embolia pulmonar"
T0487,"hace años que vive con evento vascular cerebral",presente,"hace…que + presente sin cuantificador","evento vascular cerebral"
T0488,"hace años que vive con hemorragia digestiva",presente,"hace…que + presente sin cuantificador","hemorragia digestiva"
T0489,"hace años que vive con pancreatitis",presente,"hace…que + presente sin cuantificador","pancreatitis"
T0490,"hace años que vive con infección urinaria",presente,"hace…que + presente sin cuantificador","infección urinaria"
T0491,"hace años que vive con dengue",presente,"hace…que + presente sin cuantificador","dengue"
T0492,"hace años que vive con hepatitis",presente,"hace…que + presente sin cuantificador","hepatitis"
T0493,"hace años que vive con diabetes",presente,"hace…que + presente sin cuantificador","diabetes"
T0494,"hace años que vive con hipertensión",presente,"hace…que + presente sin cuantificador","hipertensión"
T0495,"hace años que vive con asma",presente,"hace…que + presente sin cuantificador","asma"
T0496,"hace años que vive con epilepsia",presente,"hace…que + presente sin cuantificador","epilepsia"
